id,age,sex,race,specialty,weeks_per_year,hours_per_week,it_use,minority_health_cme,survey_weight
500001,55,M,White,Medical Specialties,45,41,Available and used,1,82.630155
500002,65,M,White,Surgical Specialties,50,60,Not available,0,74.170794
500003,60,M,White,Medical Specialties,45,55,Available and used,0,88.704486
500004,40,F,Black,Internal Medicine,49,60,Available and used,1,103.870154
500005,35,M,White,Family/GP,48,50,Available and used,1,78.126163
500006,50,M,White,Medical Specialties,48,50,Available and used,1,95.39395
500007,50,M,White,Family/GP,50,40,Available and used,1,71.86287
500008,45,F,White,Surgical Specialties,46,40,Available and used,0,70.298163
500009,65,F,Asian,Pediatrics,44,50,Available and used,0,82.43722
500010,40,M,White,Medical Specialties,48,58,Available and used,0,92.086641
500011,50,M,Asian,Pediatrics,49,40,Available and used,0,76.801468
500012,45,M,Asian,Medical Specialties,50,41,Available and used,0,108.52402
500013,55,M,White,Surgical Specialties,49,80,Available and used,1,80.73521600000001
500014,55,M,White,Family/GP,52,45,Available and used,1,76.099488
500015,40,F,Other,Internal Medicine,48,52,Available and used,0,97.062342
500016,60,M,White,Family/GP,50,44,,0,79.507161
500017,45,M,White,Surgical Specialties,48,45,Not available,0,92.612444
500018,60,M,White,Family/GP,48,49,Not available,1,114.728766
500019,50,M,White,Surgical Specialties,45,70,Not available,0,104.73736099999999
500020,45,M,White,Internal Medicine,47,50,Available and used,-9,76.805304
500021,50,M,White,Surgical Specialties,47,45,Available and used,0,66.836985
500022,45,M,White,Family/GP,48,60,Available and used,1,83.41095200000001
500023,60,F,White,Surgical Specialties,47,31,,0,71.416103
500024,55,M,,Psychiatry,50,50,Available and used,1,90.08135899999999
500025,65,M,Asian,Internal Medicine,50,50,Available and used,0,91.95124399999999
500026,35,F,White,Medical Specialties,40,30,Available and used,0,69.07628299999999
500027,60,F,Asian,Psychiatry,49,24,Not available,1,129.845466
500028,60,M,Hispanic,Surgical Specialties,40,34,Available and used,0,85.64074000000001
500029,45,M,White,Psychiatry,52,40,Available and used,0,83.443506
500030,35,F,White,Ob/Gyn,49,80,Available and used,0,73.648135
500031,55,M,Asian,Psychiatry,46,50,Available and used,1,110.105899
500032,60,M,White,Family/GP,52,44,Available and used,1,84.362852
500033,50,M,White,Internal Medicine,49,55,Available and used,0,104.462864
500034,50,M,White,Medical Specialties,48,53,Available and used,0,79.755404
500035,55,M,White,Psychiatry,46,50,Available and used,1,98.731107
500036,70,M,White,Medical Specialties,48,40,Available and used,1,77.03714599999999
500037,60,M,White,Surgical Specialties,50,31,Available and used,0,72.025324
500038,50,M,White,Family/GP,47,39,Not available,0,73.675772
500039,40,M,White,Medical Specialties,50,78,Not available,0,108.67111399999999
500040,50,M,White,Medical Specialties,48,64,Available and used,0,87.44428
500041,45,M,Hispanic,Surgical Specialties,50,75,Available and used,0,80.41245
500042,50,M,White,Psychiatry,48,80,Available and used,1,104.73649499999999
500043,55,F,White,Internal Medicine,48,40,Available and used,1,93.127701
500044,60,M,White,Family/GP,48,44,"Avaliable, not used",0,85.821401
500045,45,M,White,Medical Specialties,40,50,Not available,0,81.013435
500046,55,M,White,Surgical Specialties,47,42,Available and used,0,88.89135
500047,55,M,White,Psychiatry,46,55,Available and used,1,96.024056
500048,45,F,Asian,Pediatrics,48,72,Available and used,0,67.023444
500049,50,M,White,Medical Specialties,50,41,Available and used,0,87.44428
500050,35,M,Asian,Surgical Specialties,40,60,Available and used,0,74.13233699999999
500051,70,M,White,Surgical Specialties,42,18,Not available,0,86.954033
500052,55,M,White,Surgical Specialties,48,72,Not available,1,96.354407
500053,60,M,White,Family/GP,51,60,Not available,0,72.160547
500054,45,M,White,Medical Specialties,48,50,Not available,0,88.442352
500055,55,F,White,Pediatrics,48,42,Available and used,1,79.025999
500056,45,M,White,Surgical Specialties,44,50,Available and used,0,105.04751499999999
500057,45,M,Asian,Surgical Specialties,44,26,Not available,0,87.239246
500058,50,F,Hispanic,Surgical Specialties,49,40,Available and used,0,108.364099
500059,50,F,White,Surgical Specialties,46,40,Available and used,1,85.005377
500060,70,M,White,Family/GP,40,39,Available and used,0,59.661407
500061,40,M,Asian,Medical Specialties,46,60,Available and used,1,66.016376
500062,60,M,White,Medical Specialties,45,40,Available and used,0,86.913855
500063,40,M,White,Medical Specialties,50,60,Available and used,1,95.843662
500064,40,F,White,Family/GP,49,40,Available and used,0,76.611417
500065,45,F,White,Family/GP,52,53,Available and used,1,85.437775
500066,50,M,Other,Family/GP,48,40,Available and used,0,80.636218
